Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,104.43997120211614,108.50521436039527,98.76758402849865,104.29931078320678,94.843452978913,621724.8712085861
2000-01-04,103.40180314498896,111.65587236949929,99.33148797633402,105.8707981005811,96.24655606300217,611013.9184529356
2000-01-05,137.92666680524985,145.8565947143348,129.68553380638403,137.04706812851717,127.35251617526303,720644.570831398
2000-01-06,138.45985028765864,148.73345832162303,133.06881272710996,142.31584381656057,132.52995730790067,684727.1135411819
2000-01-07,143.75403380676806,151.4974849309944,139.7987599473778,145.7425283970607,135.9872948445775,656083.4210526316
2000-01-10,154.49076991897692,159.95638846077978,145.01943800695145,150.39533468081524,140.55484940279922,609963.8302411874
2000-01-11,162.4248105056432,181.3796144779495,155.16412733769968,169.77671094630986,156.60435963434102,569879.2597402597
2000-01-12,172.72406677584456,180.66457697585142,162.9453143729924,171.26927239678116,158.02782021510745,653872.1357738647
2000-01-13,175.29055185434152,183.9675383313372,162.09736575867123,172.8836523149544,159.41908799515377,674444.7799907364
2000-01-14,175.10173529764936,182.97017729917687,165.2594238226596,172.79319255396058,159.3348323499834,601331.309479554
2000-01-18,173.31318646116213,188.2963583168256,167.20661756871334,181.4134967835486,167.89372648054857,617054.5749419953
2000-01-19,183.52615279573237,202.8281715212177,175.9435510407604,190.8819225906129,177.40547234617358,658687.512534819
2000-01-20,114.04855599240923,119.67202938664214,110.28787478364656,115.27248407291461,101.85784665228248,934872.9111522443
2000-01-21,117.3656674651942,123.70644746463742,114.7243982925698,121.11627741634888,107.65112094920156,641840.3972922502
2000-01-24,164.83092079937347,179.12812738161486,158.5969742693326,165.32472230979627,151.92898507854193,650164.2877094973
2000-01-25,247.23892075826143,256.7545468314983,229.8963416262886,249.35065503411863,235.9841686002238,636415.9474662947
2000-01-26,169.9161635291267,175.46064407270163,155.69688354404127,162.42393363001364,148.90132632567904,616603.7098276665
2000-01-27,162.16671283708794,166.13640350824818,150.15097155098246,154.64546036162784,141.17854812185325,560783.2778554779
2000-01-28,153.6526152057658,159.45702775366402,143.50449324857516,149.26349242075318,135.77241721052235,577129.5876048462
2000-01-31,148.34947808737118,154.31029304712047,137.066199504301,144.28434277775455,130.8736940013616,656483.7774178621
2000-02-01,147.10426183837745,154.26598634037316,140.95400252327545,147.0269654744329,133.83531486466785,528911.3996282528
2000-02-02,216.416949286411,226.21408852946237,204.9645407895109,216.4503417154623,203.2409144681235,605444.1965693092
